user_style_daily_sirendoudizhu.fbpid,user_style_daily_sirendoudizhu.fuid,user_style_daily_sirendoudizhu.sys_sum,user_style_daily_sirendoudizhu.sys_percent,user_style_daily_sirendoudizhu.win_sum,user_style_daily_sirendoudizhu.win_percent,user_style_daily_sirendoudizhu.pay_sum,user_style_daily_sirendoudizhu.pay_percent,user_style_daily_sirendoudizhu.change_sum,user_style_daily_sirendoudizhu.change_percent,user_style_daily_sirendoudizhu.coin_total,user_style_daily_sirendoudizhu.primary_total_time,user_style_daily_sirendoudizhu.primary_total_count,user_style_daily_sirendoudizhu.primary_percent,user_style_daily_sirendoudizhu.practice_total_time,user_style_daily_sirendoudizhu.practice_total_count,user_style_daily_sirendoudizhu.practice_percent,user_style_daily_sirendoudizhu.native_total_time,user_style_daily_sirendoudizhu.native_total_count,user_style_daily_sirendoudizhu.native_percent,user_style_daily_sirendoudizhu.middle_total_time,user_style_daily_sirendoudizhu.middle_total_count,user_style_daily_sirendoudizhu.middle_percent,user_style_daily_sirendoudizhu.high_total_time,user_style_daily_sirendoudizhu.high_total_count,user_style_daily_sirendoudizhu.high_percent,user_style_daily_sirendoudizhu.master_total_time,user_style_daily_sirendoudizhu.master_total_count,user_style_daily_sirendoudizhu.master_percent,user_style_daily_sirendoudizhu.dt
EC84EED4F127B11F8004B3B6B2264C2B,11800762,27374,58.1831,19674,41.8169,0,0,0,0.0,47048,0,0,0.0,1215,8,100.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
B797AC4DBA23F78601A22277185EB16A,10943978,27945,55.4585,22444,44.5415,0,0,0,0.0,50389,0,0,0.0,4460,26,100.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
5EBDB2F4790BE7423EFC7FC44ED844AA,8311868,27731,50.3632,27331,49.6368,0,0,0,0.0,55062,0,0,0.0,0,0,0.0,604,4,100.0,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
EC84EED4F127B11F8004B3B6B2264C2B,11454688,7533,95.1617,383,4.8383,0,0,0,0.0,7916,0,0,0.0,244,1,100.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
53A1CFE86FB5700D88BF92D5087FFD2B,4312269,18649,62.3275,11272,37.6725,0,0,0,0.0,29921,0,0,0.0,2410,12,100.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
B797AC4DBA23F78601A22277185EB16A,8645197,10220,76.6117,3120,23.3883,0,0,0,0.0,13340,0,0,0.0,338,2,100.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
2ABE914346CDA3D20DA8146C66E59B6A,10376151,28493,54.4424,23843,45.5576,0,0,0,0.0,52336,0,0,0.0,482,3,27.2009,1290,6,72.7991,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
B797AC4DBA23F78601A22277185EB16A,11418050,207440,49.7018,209929,50.2982,0,0,0,0.0,417369,210,1,8.7793,509,3,21.2793,725,5,30.3094,772,5,32.2742,176,2,7.3579,0,0,0.0,2018-09-10
5EBDB2F4790BE7423EFC7FC44ED844AA,11739431,19790,56.6221,15161,43.3779,0,0,0,0.0,34951,0,0,0.0,1685,10,85.3597,289,2,14.6403,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
EC84EED4F127B11F8004B3B6B2264C2B,11346271,6406,61.8459,3952,38.1541,0,0,0,0.0,10358,0,0,0.0,0,0,0.0,212,1,100.0,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
